Fit Function: TMath::Sqrt(A*A*p*p + B*B)
eta_low eta_up A(%/GeV/c) A_error(%/GeV/c) B(%) B_error(%)
-3.750000 -3.500000 0.877826 0.309161 5.340663 3.111992
-3.500000 -3.250000 0.378699 0.031187 5.788582 0.254332
-3.250000 -3.000000 0.160939 0.006459 3.919744 0.042138
-3.000000 -2.750000 0.109806 0.003064 3.069245 0.016178
-2.750000 -2.500000 0.079910 0.001914 2.306708 0.009870
-2.500000 -2.250000 0.044451 0.001313 1.727002 0.005510
-2.250000 -2.000000 0.031395 0.000849 1.335242 0.003319
-2.000000 -1.750000 0.023104 0.000512 0.997181 0.001978
-1.750000 -1.500000 0.020739 0.000367 0.918249 0.001263
