Fit Function: TMath::Sqrt(A*A/p/p + B*B)
eta_low eta_up A(mrad*GeV/c) A_error(mrad*GeV/c) B(mrad) B_error(mrad)
-3.750000 -3.500000 8.767745 2.975858 2.840607 0.185980
-3.500000 -3.250000 26.223149 4.695639 2.166096 1.177175
-3.250000 -3.000000 24.668888 2.148689 1.097056 0.695744
-3.000000 -2.750000 13.564047 0.683447 1.383093 0.303657
-2.750000 -2.500000 10.659769 0.283753 0.761713 0.130763
-2.500000 -2.250000 7.193395 0.211557 0.554353 0.146864
-2.250000 -2.000000 5.804141 0.103400 0.377310 0.071403
-2.000000 -1.750000 4.601817 0.040954 0.360673 0.027744
-1.750000 -1.500000 2.918327 0.013354 0.226098 0.008278
