Fit Function: TMath::Sqrt(A*A/p/p + B*B)
eta_low eta_up A(mrad*GeV/c) A_error(mrad*GeV/c) B(mrad) B_error(mrad)
-3.750000 -3.500000 0.460936 0.020625 0.031520 0.010290
-3.500000 -3.250000 0.397658 0.007943 0.059921 0.004048
-3.250000 -3.000000 0.308481 0.004553 0.091966 0.002631
-3.000000 -2.750000 0.360891 0.004550 0.140578 0.002855
-2.750000 -2.500000 0.671160 0.010679 0.156604 0.002246
-2.500000 -2.250000 1.118727 0.008803 0.095410 0.002425
-2.250000 -2.000000 1.325261 0.007638 0.066403 0.002405
-2.000000 -1.750000 1.558780 0.007507 0.067387 0.002469
-1.750000 -1.500000 0.947363 0.007429 0.070301 0.004823
